상품명,카테고리,원_평점,리뷰수,보정_평점,축소량,전체평균,사전가중
"Swiffer Instant Electric Water Heater Faucet Tap Home-Kitchen Instantaneous Water Heater Tank less for Tap, LED Electric Head Water Heaters Tail Gallon Comfort(3000W) ((Pack of 1))","InstantWaterHeaters",4.8,53803,4.743,0.057,4.091,4703
"Redgear MP35 Speed-Type Gaming Mousepad (Black/Red)","Gamepads",4.6,33434,4.5372,0.0628,4.091,4703
"Spigen EZ Fit Tempered Glass Screen Protector Guard for iPhone 14/13/13 Pro - 2 Pack","ScreenProtectors",4.6,26603,4.5235,0.0765,4.091,4703
"SanDisk Extreme SD UHS I 64GB Card for 4K Video for DSLR and Mirrorless Cameras 170MB/s Read & 80MB/s Write","MicroSD",4.5,205052,4.4908,0.0092,4.091,4703
"AmazonBasics USB 2.0 Cable - A-Male to B-Male - for Personal Computer, Printer- 6 Feet (1.8 Meters), Black","USBCables",4.5,107687,4.4829,0.0171,4.091,4703
"Crucial BX500 240GB 3D NAND SATA 6.35 cm (2.5-inch) SSD (CT240BX500SSD1)","InternalSolidStateDrives",4.5,92925,4.4803,0.0197,4.091,4703
"AmazonBasics USB 2.0 - A-Male to A-Female Extension Cable for Personal Computer, Printer (Black, 9.8 Feet/3 Meters)","USBCables",4.5,74976,4.4759,0.0241,4.091,4703
"AmazonBasics USB 2.0 Extension Cable for Personal Computer, Printer, 2-Pack - A-Male to A-Female - 3.3 Feet (1 Meter, Black)","USBCables",4.5,74977,4.4759,0.0241,4.091,4703
"Spigen EZ Fit Tempered Glass Screen Protector for iPhone 14 Pro Max - 2 Pack (Sensor Protection)","ScreenProtectors",4.7,7779,4.4706,0.2294,4.091,4703
"Logitech M235 Wireless Mouse, 1000 DPI Optical Tracking, 12 Month Life Battery, Compatible with Windows, Mac, Chromebook/PC/Laptop","Mice",4.5,54405,4.4675,0.0325,4.091,4703
"Seagate Expansion 1TB External HDD - USB 3.0 for Windows and Mac with 3 yr Data Recovery Services, Portable Hard Drive (STKM1000400)","ExternalHardDisks",4.5,50810,4.4654,0.0346,4.091,4703
"Seagate One Touch 2TB External HDD with Password Protection – Black, for Windows and Mac, with 3 yr Data Recovery Services, and 4 Months Adobe CC Photography (STKY2000400)","ExternalHardDisks",4.5,50273,4.465,0.035,4.091,4703
"Logitech M331 Silent Plus Wireless Mouse, 2.4GHz with USB Nano Receiver, 1000 DPI Optical Tracking, 3 Buttons, 24 Month Life Battery, PC/Mac/Laptop - Black","Mice",4.6,12375,4.4599,0.1401,4.091,4703
"Dell MS116 1000Dpi USB Wired Optical Mouse, Led Tracking, Scrolling Wheel, Plug and Play.","Mice",4.5,33176,4.4492,0.0508,4.091,4703
"Logitech G402 Hyperion Fury USB Wired Gaming Mouse, 4,000 DPI, Lightweight, 8 Programmable Buttons, Compatible for PC/Mac - Black","GamingMice",4.6,10760,4.4452,0.1548,4.091,4703
"Logitech Pebble M350 Wireless Mouse with Bluetooth or USB - Silent, Slim Computer Mouse with Quiet Click for Laptop, Notebook, PC and Mac - Graphite","Mice",4.6,10652,4.4441,0.1559,4.091,4703
"ELV Aluminum Adjustable Mobile Phone Foldable Tabletop Stand Dock Mount for All Smartphones, Tabs, Kindle, iPad (Black)","Stands",4.5,28978,4.4429,0.0571,4.091,4703
"Duracell Ultra Alkaline AA Battery, 8 Pcs","DisposableBatteries",4.5,28030,4.4412,0.0588,4.091,4703
"Crucial RAM 8GB DDR4 3200MHz CL22 (or 2933MHz or 2666MHz) Laptop Memory CT8G4SFRA32A","Memory",4.5,26194,4.4378,0.0622,4.091,4703
"Havells Aqua Plus 1.2 litre Double Wall Kettle / 304 Stainless Steel Inner Body / Cool touch outer body / Wider mouth/ 2 Year warranty (Black, 1500 Watt)","ElectricKettles",4.5,23484,4.4318,0.0682,4.091,4703
"Sony Bravia 164 cm (65 inches) 4K Ultra HD Smart LED Google TV KD-65X74K (Black)","SmartTelevisions",4.7,5935,4.4308,0.2692,4.091,4703
"TP-Link UE300 USB 3.0 to RJ45 Gigabit Ethernet Network Adapter - Plug and Play","WirelessUSBAdapters",4.5,22420,4.4291,0.0709,4.091,4703
"AirCase Rugged Hard Drive Case for 2.5-inch Western Digital, Seagate, Toshiba, Portable Storage Shell for Gadget Hard Disk USB Cable Power Bank Mobile Charger Earphone, Waterproof (Black)","HardDiskBags",4.5,21010,4.4252,0.0748,4.091,4703
"Belkin Essential Series 4-Socket Surge Protector Universal Socket with 5ft Heavy Duty Cable (Grey)","SurgeProtectors",4.5,20668,4.4242,0.0758,4.091,4703
"SanDisk Extreme microSD UHS I Card 128GB for 4K Video on Smartphones,Action Cams 190MB/s Read,90MB/s Write","MicroSD",4.5,19624,4.4209,0.0791,4.091,4703
"Instant Pot Air Fryer, Vortex 2QT, Touch Control Panel, 360° EvenCrisp™ Technology, Uses 95 % less Oil, 4-in-1 Appliance: Air Fry, Roast, Bake, Reheat (Vortex 1.97Litre, Black)","AirFryers",4.8,3964,4.4153,0.3847,4.091,4703
"Duracell Ultra Alkaline AAA Battery, 8 Pcs","DisposableBatteries",4.5,17810,4.4146,0.0854,4.091,4703
"ESR Screen Protector Compatible with iPad Pro 11 Inch (2022/2021/2020/2018) and iPad Air 5/4 (2022/2020, 10.9 Inch), Tempered-Glass Film with Alignment Frame, Scratch Resistant, HD Clarity, 2 Pack","ScreenProtectors",4.5,16680,4.4101,0.0899,4.091,4703
"Logitech K380 Wireless Multi-Device Keyboard for Windows, Apple iOS, Apple TV Android or Chrome, Bluetooth, Compact Space-Saving Design, PC/Mac/Laptop/Smartphone/Tablet (Dark Grey)","Keyboards",4.5,16146,4.4078,0.0922,4.091,4703
"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot","HDMICables",4.4,426973,4.3966,0.0034,4.091,4703
