상품명,카테고리,카테고리_상품수,가격,카테고리_중앙값,가격_백분위,평점,리뷰수,평점_백분위,value_gap
"Philips GC1905 1440-Watt Steam Iron with Spray (Blue)","SteamIrons",12,1614,3047,9.1,4.3,37974,100,0.909
"boAt Bassheads 102 Wired in Ear Earphones with Mic (Mint Green)","In-Ear",51,399,889,14,4.2,76042,100,0.86
"Smashtronics® - Case for Firetv Remote, Fire Stick Remote Cover Case, Silicone Cover for TV Firestick 4K/TV 2nd Gen(3rd Gen) Remote Control - Light Weight/Anti Slip/Shockproof (Black)","RemoteControls",47,199,339,6.5,4.2,1335,89.1,0.826
"boAt Bassheads 100 in Ear Wired Earphones with Mic(Taffy Pink)","In-Ear",51,349,889,8,4.1,363713,88,0.8
"AmazonBasics USB 2.0 - A-Male to A-Female Extension Cable for Personal Computer, Printer (Black, 9.8 Feet/3 Meters)","USBCables",159,199,299,22.8,4.5,74976,98.1,0.753
"MI REDMI 9i Sport (Carbon Black, 64 GB) (4 GB RAM)","Smartphones",64,7915,13999,11.1,4.3,1376,85.7,0.746
"Universal Remote Control for All Sony TV for All LCD LED and Bravia TVs Remote","RemoteControls",47,239,339,26.1,4.4,2640,97.8,0.717
"STRIFF PS2_01 Multi Angle Mobile/Tablet Tabletop Stand. Phone Holder for iPhone, Android, Samsung, OnePlus, Xiaomi. Portable, Foldable Cell Phone Stand. Perfect for Bed, Office, Home & Desktop (Black)","Stands",11,99,149,10,4.3,42641,80,0.7
"Mi 80 cm (32 inches) HD Ready Android Smart LED TV 4A PRO | L32M5-AL (Black)","SmartTelevisions",60,14999,22999,27.1,4.3,27508,96.6,0.695
"Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (Glossy Black)","SmartTelevisions",60,13490,22999,20.3,4.3,16299,88.1,0.678
"AmazonBasics USB 2.0 Cable - A-Male to B-Male - for Personal Computer, Printer- 6 Feet (1.8 Meters), Black","USBCables",159,209,299,31.6,4.5,107687,99.4,0.677
"Butterfly EKN 1.5-Litre Electric Kettle (Silver with Black)","Kettle&ToasterSets",13,749,1182,25,4.2,35693,91.7,0.667
"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot","HDMICables",21,219,309,15,4.4,426973,80,0.65
"Philips GC1920/28 1440-Watt Non-Stick Soleplate Steam Iron","SteamIrons",12,1849,3047,27.3,4.3,7681,90.9,0.636
"Campfire Spring Chef Prolix Instant Portable Water Heater Geyser 1Ltr. for Use Home Stainless Steel Baking Rack | Restaurant | Office | Labs | Clinics | Saloon | with Installation Kit (With MCB)","InstantWaterHeaters",23,1499,2599,31.8,4.7,2591,95.5,0.636
"INALSA Electric Kettle 1.5 Litre with Stainless Steel Body - Absa|Auto Shut Off & Boil Dry Protection Safety Features| Cordless Base & Cord Winder|Hot Water Kettle |Water Heater Jug","ElectricKettles",19,699,999,11.1,4.1,8090,72.2,0.611
"Dell MS116 1000Dpi USB Wired Optical Mouse, Led Tracking, Scrolling Wheel, Plug and Play.","Mice",24,299,574,21.7,4.5,33176,82.6,0.609
"Fire-Boltt Ninja 3 Smartwatch Full Touch 1.69 & 60 Sports Modes with IP68, Sp02 Tracking, Over 100 Cloud based watch faces - Black","SmartWatches",54,1499,1999,15.1,4.2,22638,75.5,0.604
