기준상품,기준가,기준_카테고리,보완_사유,추천_보완재,보완재가,보완재_카테고리,보완재_평점,보완재_리뷰수,부가비용_pct
"Seagate One Touch 2TB External HDD with Password Protection – Black, for Windows and Mac, with 3 yr Data Recovery Services, and 4 Months Adobe CC Photography (STKY2000400)",5799,"ExternalHardDisks","보관·운반","AirCase Rugged Hard Drive Case for 2.5-inch Western Digital, Seagate, Toshiba, Portable Storage Shell for Gadget Hard Disk USB Cable Power Bank Mobile Charger Earphone, Waterproof (Black)",299,"HardDiskBags",4.5,21010,5.2
"Seagate One Touch 2TB External HDD with Password Protection – Black, for Windows and Mac, with 3 yr Data Recovery Services, and 4 Months Adobe CC Photography (STKY2000400)",5799,"ExternalHardDisks","연결 케이블","Belkin USB C to USB-C Fast Charging Type C Cable, 60W PD, 3.3 feet (1 meter) for Laptop, Personal Computer, Tablet, Smartphone - Black, USB-IF Certified",599,"USBCables",4.5,577,10.3
"Western Digital WD 2TB My Passport Portable Hard Disk Drive, USB 3.0 with  Automatic Backup, 256 Bit AES Hardware Encryption,Password Protection,Compatible with Windows and Mac, External HDD-Black",5599,"ExternalHardDisks","보관·운반","AirCase Rugged Hard Drive Case for 2.5-inch Western Digital, Seagate, Toshiba, Portable Storage Shell for Gadget Hard Disk USB Cable Power Bank Mobile Charger Earphone, Waterproof (Black)",299,"HardDiskBags",4.5,21010,5.3
"Western Digital WD 2TB My Passport Portable Hard Disk Drive, USB 3.0 with  Automatic Backup, 256 Bit AES Hardware Encryption,Password Protection,Compatible with Windows and Mac, External HDD-Black",5599,"ExternalHardDisks","연결 케이블","Belkin USB C to USB-C Fast Charging Type C Cable, 60W PD, 3.3 feet (1 meter) for Laptop, Personal Computer, Tablet, Smartphone - Black, USB-IF Certified",599,"USBCables",4.5,577,10.7
"Seagate Expansion 1TB External HDD - USB 3.0 for Windows and Mac with 3 yr Data Recovery Services, Portable Hard Drive (STKM1000400)",4098,"ExternalHardDisks","보관·운반","AirCase Rugged Hard Drive Case for 2.5-inch Western Digital, Seagate, Toshiba, Portable Storage Shell for Gadget Hard Disk USB Cable Power Bank Mobile Charger Earphone, Waterproof (Black)",299,"HardDiskBags",4.5,21010,7.3
"Seagate Expansion 1TB External HDD - USB 3.0 for Windows and Mac with 3 yr Data Recovery Services, Portable Hard Drive (STKM1000400)",4098,"ExternalHardDisks","연결 케이블","Belkin USB C to USB-C Fast Charging Type C Cable, 60W PD, 3.3 feet (1 meter) for Laptop, Personal Computer, Tablet, Smartphone - Black, USB-IF Certified",599,"USBCables",4.5,577,14.6
"Sujata Powermatic Plus, Juicer Mixer Grinder with Chutney Jar, 900 Watts, 3 Jars (White)",6525,"JuicerMixerGrinders","여분 용기","Sujata Chutney Steel Jar, 400 ml, (White), Stainless Steel",688,"SmallApplianceParts&Accessories",4.5,2280,10.5
"Sujata Powermatic Plus 900 Watts Juicer Mixer Grinder",5890,"JuicerMixerGrinders","여분 용기","Sujata Chutney Steel Jar, 400 ml, (White), Stainless Steel",688,"SmallApplianceParts&Accessories",4.5,2280,11.7
"SUJATA Powermatic Plus, Juicer Mixer Grinder, 900 Watts, 2 Jars (White)",5865,"JuicerMixerGrinders","여분 용기","Sujata Chutney Steel Jar, 400 ml, (White), Stainless Steel",688,"SmallApplianceParts&Accessories",4.5,2280,11.7
"Bosch Pro 1000W Mixer Grinder MGM8842MIN - Black",6999,"MixerGrinders","여분 용기","Sujata Chutney Steel Jar, 400 ml, (White), Stainless Steel",688,"SmallApplianceParts&Accessories",4.5,2280,9.8
"Sujata Dynamix DX Mixer Grinder, 900W, 3 Jars (White)",6120,"MixerGrinders","여분 용기","Sujata Chutney Steel Jar, 400 ml, (White), Stainless Steel",688,"SmallApplianceParts&Accessories",4.5,2280,11.2
"TP-Link Archer AC1200 Archer C6 Wi-Fi Speed Up to 867 Mbps/5 GHz + 400 Mbps/2.4 GHz, 5 Gigabit Ports, 4 External Antennas, MU-MIMO, Dual Band, WiFi Coverage with Access Point Mode, Black",2499,"Routers","유선 연결","Quantum RJ45 Ethernet Patch Cable/LAN Router Cable with Heavy Duty Gold Plated Connectors Supports Hi-Speed Gigabit Upto 1000Mbps, Waterproof and Durable,1-Year Warranty-32.8 Feet (10 Meters)(White)",238,"EthernetCables",4.4,8372,9.5
"RESONATE RouterUPS CRU12V2A | Zero Drop | UPS for WiFi Router | Mini UPS | Up to 4 Hours PowerBackup | Battery Replacement Program | Router UPS Compatible with 12V <2A Routers, FTTH, Modem, Set Top Box, Alexa, Mini Camera",1799,"Routers","유선 연결","Quantum RJ45 Ethernet Patch Cable/LAN Router Cable with Heavy Duty Gold Plated Connectors Supports Hi-Speed Gigabit Upto 1000Mbps, Waterproof and Durable,1-Year Warranty-32.8 Feet (10 Meters)(White)",238,"EthernetCables",4.4,8372,13.2
"TP-Link AC750 Dual Band Wireless Cable Router, 4 10/100 LAN + 10/100 WAN Ports, Support Guest Network and Parental Control, 750Mbps Speed Wi-Fi, 3 Antennas (Archer C20) Blue, 2.4 GHz",1529,"Routers","유선 연결","Quantum RJ45 Ethernet Patch Cable/LAN Router Cable with Heavy Duty Gold Plated Connectors Supports Hi-Speed Gigabit Upto 1000Mbps, Waterproof and Durable,1-Year Warranty-32.8 Feet (10 Meters)(White)",238,"EthernetCables",4.4,8372,15.6
"OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 (Black)",14999,"SmartTelevisions","구형 기기 연결","AmazonBasics 3.5mm to 2-Male RCA Adapter Cable For Tablet, Smartphone (Black, 15 feet)",489,"RCACables",4.4,69538,3.3
