## 문제1: 다섯 모델 홀드아웃 vs 5겹 CV 비교
모델,홀드아웃,CV 평균,CV 표준편차,차이(홀드아웃-CV)
Dummy,0.8451,0.8453,0.0002,-0.0002
Tree(기본),0.8423,0.8537,0.0017,-0.0114
Tree(depth=5),0.8942,0.8913,0.004,0.0028
RandomForest,0.8946,0.8928,0.0049,0.0018
XGBoost,0.8921,0.8897,0.0041,0.0024

## 문제4-1: 트리 max_depth 손잡이 CV 훑기
max_depth,CV 평균,CV 표준편차
2.0,0.8867,0.0077
3.0,0.8879,0.003
5.0,0.8913,0.004
8.0,0.8874,0.0026
12.0,0.8773,0.0023
,0.8537,0.0017

## 문제4-2: RandomForest min_samples_leaf 손잡이 CV·격차 훑기
min_samples_leaf,CV 평균,학습 점수,테스트 점수,격차(학습-테스트)
1,0.8928,0.9998,0.8946,0.1052
5,0.8957,0.9516,0.8942,0.0575
20,0.8972,0.9177,0.8925,0.0251
50,0.8979,0.9055,0.8925,0.013
